unicode_id,sign_grapheme,transliteration
U+12141,𒅁,ib
U+12142,𒅂,idim
U+12143,𒅃,idim / idim bur
U+12144,𒅄,idim / idim squared
U+12145,𒅅,ig
U+12146,𒅆,igi
U+12147,𒅇,igi dib
U+12148,𒅈,igi ri
U+12149,𒅉,igi / igi shir / shir ud / ud
U+1214A,𒅊,igi gunu
U+1214B,𒅋,il
U+1214C,𒅌,il × gan₂ tenu
U+1214D,𒅍,il₂
U+1214E,𒅎,im
U+1214F,𒅏,im × tak₄
U+12150,𒅐,im crossing im
U+12151,𒅑,im opposing im
U+12152,𒅒,im squared
U+12153,𒅓,imin
U+12154,𒅔,in
U+12155,𒅕,ir
U+12156,𒅖,ish
U+12157,𒅗,ka
U+12158,𒅘,ka × a
U+12159,𒅙,ka × ad
U+1215A,𒅚,ka × ad + ku₃
U+1215B,𒅛,ka × ash₂
U+1215C,𒅜,ka × bad
U+1215D,𒅝,ka × balag
U+1215E,𒅞,ka × bar
U+1215F,𒅟,ka × bi
U+12160,𒅠,ka × erin₂
U+12161,𒅡,ka × esh₂
U+12162,𒅢,ka × ga
U+12163,𒅣,ka × gal
U+12164,𒅤,ka × gan₂ tenu
U+12165,𒅥,ka × gar
U+12166,𒅦,ka × gar + sha₃ + a
U+12167,𒅧,ka × gi
U+12168,𒅨,ka × gir₂
U+12169,𒅩,ka × gish + sar
U+1216A,𒅪,ka × gish crossing gish
U+1216B,𒅫,ka × gu
U+1216C,𒅬,ka × gur₇
U+1216D,𒅭,ka × igi
U+1216E,𒅮,ka × im
U+1216F,𒅯,ka × kak
U+12170,𒅰,ka × ki
U+12171,𒅱,ka × kid
U+12172,𒅲,ka × li
U+12173,𒅳,ka × lu
U+12174,𒅴,ka × me
U+12175,𒅵,ka × me + du
U+12176,𒅶,ka × me + gi
U+12177,𒅷,ka × me + te
U+12178,𒅸,ka × mi
U+12179,𒅹,ka × mi + nunuz
U+1217A,𒅺,ka × ne
U+1217B,𒅻,ka × nun
U+1217C,𒅼,ka × pi
U+1217D,𒅽,ka × ru
U+1217E,𒅾,ka × sa
U+1217F,𒅿,ka × sar
U+12180,𒆀,ka × sha
U+12181,𒆁,ka × she
U+12182,𒆂,ka × shid
U+12183,𒆃,ka × shu
