unicode_id,allograph_sign,allograph_form,allograph_ucun,signList_analogue
U+1204E,|BU&BU.AB|,|(BU%BU)×AB|,𒁎,ABZL275 [Old Babylonian (~2000–1600 BCE) | School texts]; MZL582 [Standard Babylonian (any period) | Akkado-Babylonian]; SLLHA371a [Standard Babylonian (any period) | Akkado-Babylonian]
U+1204E,|BU&BU.AB|,|(MUŠ%MUŠ)×AB|,𒁎,ABZL275 [Old Babylonian (~2000–1600 BCE) | School texts]; MZL582 [Standard Babylonian (any period) | Akkado-Babylonian]; SLLHA371a [Standard Babylonian (any period) | Akkado-Babylonian]
U+12050,|BU%BU|,|BU&BU|,𒁐,MZL581 [Standard Babylonian (any period) | Akkado-Babylonian]; SLLHA371n3 [Standard Babylonian (any period) | Akkado-Babylonian]
U+12054,BUR₂,BUR₂@v,𒁔,LAK052 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY010 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL013 [Old Babylonian (~2000–1600 BCE) | School texts]; BAU054 [Early Dynastic (~2900–2340 BCE) | Lagash]; BAU056 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES030 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL022 [Gudea period (~2100 BCE) | Lagash / Girsu]; KWU088 [Ur III (~2112–2004 BCE) | Administrative]; MZL008 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE061 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP088 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA011 [Standard Babylonian (any period) | Akkado-Babylonian]; SYA010 [Standard Babylonian (any period) | Akkadian syllabary]
U+12245,BURU₅,NAM,𒉅,LAK071 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY054 [Standard Babylonian (any period) | Akkadian syllabary]; BAU038 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES043 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL040 [Gudea period (~2100 BCE) | Lagash / Girsu]; PTACE065 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP413 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; LAK072^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY054a [Standard Babylonian (any period) | Akkadian syllabary]; ABZL043 [Old Babylonian (~2000–1600 BCE) | School texts]; ELLES044 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL039 [Gudea period (~2100 BCE) | Lagash / Girsu]; MZL135 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP414 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]
U+12056,DAG,LAK457,𒁖,LAK457 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK740 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY151 [Standard Babylonian (any period) | Akkadian syllabary]; ASY152 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL168 [Old Babylonian (~2000–1600 BCE) | School texts]; BAU362 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES363 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL304 [Gudea period (~2100 BCE) | Lagash / Girsu]; KWU848 [Ur III (~2112–2004 BCE) | Administrative]; PTACE299 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP134 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SYA132 [Standard Babylonian (any period) | Akkadian syllabary]; SYA133 [Standard Babylonian (any period) | Akkadian syllabary]
U+12066,|DAG.KISIM₅×(LU.MAŠ₂)|,LAK388,𒁦,LAK388 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ABZL174 [Old Babylonian (~2000–1600 BCE) | School texts]; KWU893 [Ur III (~2112–2004 BCE) | Administrative]; MZL460 [Standard Babylonian (any period) | Akkado-Babylonian]; SLLHA293 [Standard Babylonian (any period) | Akkado-Babylonian]
U+12066,|DAG.KISIM₅×(LU.MAŠ₂)|,|DAG.KISIM₅×LU|,𒁦,LAK721 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; RSP358 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; ABZL174 [Old Babylonian (~2000–1600 BCE) | School texts]; KWU893 [Ur III (~2112–2004 BCE) | Administrative]; MZL460 [Standard Babylonian (any period) | Akkado-Babylonian]; SLLHA293 [Standard Babylonian (any period) | Akkado-Babylonian]
U+1206D,|DAG.KISIM₅×UŠ|,LAK777@s,𒁭,LAK777 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ELLES380 [Early Dynastic (~2900–2340 BCE) | Ebla]; MZL449 [Standard Babylonian (any period) | Akkado-Babylonian]; SLLHA287 [Standard Babylonian (any period) | Akkado-Babylonian]
U+12071,DARA₄,DARA₄~b,𒁱,LAK670 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ABZL421 [Old Babylonian (~2000–1600 BCE) | School texts]; BAU372 [Early Dynastic (~2900–2340 BCE) | Lagash]; MZL817 [Standard Babylonian (any period) | Akkado-Babylonian]; SLLHA540 [Standard Babylonian (any period) | Akkado-Babylonian]
