unicode_id,sign_grapheme,unicodeTrLit,syllabarySign,PhoneticsVersion
U+1206F,𒁯,dar,DAR,DAR | DAX(DAR) | DAŠ4 | DIR2 | GUN3 | GUNU3 | GUX(DAR) | TAR2 | TIR3 | dar | dax(DAR) | daš4 | dir2 | gun3 | gunu3 | gux(DAR) | tar2 | tir3 | ŢAR2 | ŢIR4 | ţar2 | ţir4
U+12070,𒁰,dara₃,DARA3,DAR3 | DARA3 | DURAH | TAR3 | TARA3 | TARAH | dar3 | dara3 | durah | tar3 | tara3 | tarah | ŢAR3 | ţar3
U+12071,𒁱,dara₄,DARA4,DAR4 | DARA4 | DURAHX(DARA4) | GANA6 | GANAM6 | INNA | LAHAR2 | LAHRUM2 | NINA2 | NINNAX(DARA4) | TARAHX(DARA4) | U10 | UA2 | dar4 | dara4 | durahx(DARA4) | gana6 | ganam6 | inna | lahar2 | lahrum2 | nina2 | ninnax(DARA4) | tarahx(DARA4) | u10 | ua2
U+12072,𒁲,di,DI,DE | DI | DUX(DI) | SA2 | SAL2 | SALAGUD | SALGUD | SALIM | SE8 | SI8 | SILIM | SILIMA | SILIX(DI) | SIM3 | SISAX(DI) | TE10 | TI4 | de | di | dux(DI) | sa2 | sal2 | salagud | salgud | salim | se8 | si8 | silim | silima | silix(DI) | sim3 | sisax(DI) | te10 | ti4 | ŚA2 | śa2 | ŠUL3 | šul3 | ŢE | ŢI | ţe | ţi
U+12073,𒁳,dib,DIB,DAB | DABA | DABE | DAP | DEB | DIB | DIBI | DIP | DIX(DIB) | DUL8 | TIB | TIP | dab | daba | dabe | dap | deb | dib | dibi | dip | dix(DIB) | dul8 | tib | tip | ŢAB3 | ŢIB | ŢIP | ţab3 | ţib | ţip
U+12074,𒁴,dim,DIM,DI11 | DIM | DUM4 | MUN3 | TAM3 | TI3 | TIM | TUM8 | di11 | dim | dum4 | mun3 | tam3 | ti3 | tim | tum8 | ŢIM | ţim
U+12075,𒁵,dim × she,DIM×ŠE,DIM×ŠE | GAKKUL2 | KAKKUL2 | MUN | MUNU | gakkul2 | kakkul2 | mun | munu
U+12076,𒁶,dim₂,DIM2,/ŠITLAM/ | /šitlam/ | DEM2 | DIM2 | DIMA2 | DIX(DIM2) | GE18 | GEM | GEN7 | GI18 | GIM | GIMI | GIN7 | KE5 | KI5 | KIM | KIN8 | MUŠDA | MUŠDAM | MUŠDAMA | QIM | TAM6 | dem2 | dim2 | dima2 | dix(DIM2) | ge18 | gem | gen7 | gi18 | gim | gimi | gin7 | ke5 | ki5 | kim | kin8 | mušda | mušdam | mušdama | qim | tam6 | ŠIDI | ŠIDIM | ŠILAMX(DIM2) | ŠITALAMX(DIM2) | ŠITIM | šidi | šidim | šilamx(DIM2) | šitalamx(DIM2) | šitim | ŢIM2 | ţim2
U+12077,𒁷,din,DIN,DAN5 | DEN | DIN | DINI | GURUN8 | IDINX(DIN) | KURUN2 | TEN2 | TILX(DIN) | TIM3 | TIN | dan5 | den | din | dini | gurun8 | idinx(DIN) | kurun2 | ten2 | tilx(DIN) | tim3 | tin | ŢIN | ţin
U+1207A,𒁺,du,DU,ARAGUB | DE6 | DI6 | DU | DULX(DU) | ER10 | GE13 | GEN | GIM6 | GIN | GINAX(DU) | GIR7 | GUB | GUBA | GUBU | GUP | IM6 | KAŠ5 | KIM6 | KIN7 | KUB | KUP | KURX(DU) | KUX(DU) | LAH6 | MEN3 | MIX(DU) | NAX(DU) | QUB | QUP | RA2 | RE6 | RI6 | TU3 | TUM2 | TUMA2 | TUMU2 | aragub | de6 | di6 | du | dulx(DU) | er10 | ge13 | gen | gim6 | gin | ginax(DU) | gir7 | gub | guba | gubu | gup | im6 | kaš5 | kim6 | kin7 | kub | kup | kurx(DU) | kux(DU) | lah6 | men3 | mix(DU) | nax(DU) | qub | qup | ra2 | re6 | ri6 | tu3 | tum2 | tuma2 | tumu2 | ĜEN | ĜIM6 | ĜIN | ĝen | ĝim6 | ĝin | ŠA4 | ŠE13 | ša4 | še13 | ŢU3 | ţu3
U+1207C,𒁼,du gunu,DU@g,DU@G | DU@g | GIM5 | GIR6 | GIRI6 | IM5 | IŠDU | IŠDUMX(DU@G) | KAS5 | KIM5 | SUH6 | SUHUŠ | gim5 | gir6 | giri6 | im5 | išdu | išdumx(DU@g) | kas5 | kim5 | suh6 | suhuš | ŠUHUŠ | šuhuš
