unicode_id,sign_grapheme,sign_trlitScien,sign_phonetic,sign_translation,sign_type,is_compound,component_position,word_id,confidence,source,artifact_id,corpus_id,genre_name,provenance,modern,archaeological_context,period_index,period_dates,languages,is_school_text,genre_uncertain,period_uncertain,provenience_uncertain
U+12215,𒈕,LU₂@s,ri9,,SYLL,SIMPLE,,P229166_96,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+1223E,𒈾,NA,na,,SYLL,SIMPLE,,P229166_96,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12111,𒄑,GIŠ,geš,,SYLL,SIMPLE,,P229166_98,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12118,𒄘,GU₂,gu2,,SYLL,SIMPLE,,P229166_99,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12103,𒄃,|GI%GI|,gilim,,SYLL,SIMPLE,,P229166_99,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+1223E,𒈾,NA,na,,SYLL,SIMPLE,,P229166_99,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12111,𒄑,GIŠ,geš,,SYLL,SIMPLE,,P229166_101,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12103,𒄃,|GI%GI|,gilim,,SYLL,SIMPLE,,P229166_102,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
,,ABZU,abzu,,SYLL,SIMPLE,,P229166_102,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12111,𒄑,GIŠ,geš,,SYLL,SIMPLE,,P229166_103,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
