unicode_id,sign_grapheme,sign_source,sign_structure,structural_hint,component_position,sign_name,allograph_form,graphic_variant_id,sign_type,compound_form,compound_grapheme,compound_unicode,unicodeTrLit,syllabary_sign,typePhonetic_Version,phonetic_version,signList_analogue
U+121F2,𒇲,OSL,compound,,2,|A.EDIN.LAL|,|EDIN.LAL|,AEDINLAL_v7,Type_2,|EDIN.LAL|,𒂔𒇲,U+12094; U+121F2,lal,LAL,Attested Compound Reading,ummuₓ,
U+12094,𒂔,OSL,compound,,1,|A.EDIN.LAL|,|EDIN.LAL.A|,AEDINLAL_v8,Type_2,|EDIN.LAL.A|,𒂔𒇲𒀀,U+12094; U+121F2; U+12000,edin,EDIN,Attested Compound Reading,ummuₓ,
U+121F2,𒇲,OSL,compound,,2,|A.EDIN.LAL|,|EDIN.LAL.A|,AEDINLAL_v8,Type_2,|EDIN.LAL.A|,𒂔𒇲𒀀,U+12094; U+121F2; U+12000,lal,LAL,Attested Compound Reading,ummuₓ,
U+12000,𒀀,OSL,compound,,3,|A.EDIN.LAL|,|EDIN.LAL.A|,AEDINLAL_v8,Type_2,|EDIN.LAL.A|,𒂔𒇲𒀀,U+12094; U+121F2; U+12000,a,A,Attested Compound Reading,ummuₓ,
U+12094,𒂔,OSL,compound,,1,|A.EDIN.LAL|,|EDIN.NA.A.LAL|,AEDINLAL_v9,Type_2,|EDIN.NA.A.LAL|,𒂔𒈾𒀀𒇲,U+12094; U+1223E; U+12000; U+121F2,edin,EDIN,Attested Compound Reading,ummuₓ,
U+1223E,𒈾,OSL,compound,,2,|A.EDIN.LAL|,|EDIN.NA.A.LAL|,AEDINLAL_v9,Type_2,|EDIN.NA.A.LAL|,𒂔𒈾𒀀𒇲,U+12094; U+1223E; U+12000; U+121F2,na,NA,Attested Compound Reading,ummuₓ,
U+12000,𒀀,OSL,compound,,3,|A.EDIN.LAL|,|EDIN.NA.A.LAL|,AEDINLAL_v9,Type_2,|EDIN.NA.A.LAL|,𒂔𒈾𒀀𒇲,U+12094; U+1223E; U+12000; U+121F2,a,A,Attested Compound Reading,ummuₓ,
U+121F2,𒇲,OSL,compound,,4,|A.EDIN.LAL|,|EDIN.NA.A.LAL|,AEDINLAL_v9,Type_2,|EDIN.NA.A.LAL|,𒂔𒈾𒀀𒇲,U+12094; U+1223E; U+12000; U+121F2,lal,LAL,Attested Compound Reading,ummuₓ,
U+12000,𒀀,OSL,compound,,1,|A.GAR₃|,,AGAR_v1,Type_2,|A.GAR₃|,𒀀𒃼,U+12000; U+120FC,a,A,Attested Compound Reading,a-gar₃|ugar,
U+120FC,𒃼,OSL,compound,,2,|A.GAR₃|,,AGAR_v1,Type_2,|A.GAR₃|,𒀀𒃼,U+12000; U+120FC,gar₃,GAR3,Attested Compound Reading,a-gar₃|ugar,
U+12000,𒀀,OSL,compound,,1,|A.GISAL.GAD.GAR.A.SI|,|A.LAK648×A.GAD.GAR.A.SI|,AGISALGA_v1,Type_2,|A.LAK648×A.GAD.GAR.A.SI|,𒀀X𒃰𒃻𒀀𒋛,U+12000; X; U+120F0; U+120FB; U+12000; U+122DB,a,A,No Attested Compound Reading,,
